step,layer,module_type,module_name,param_name,effective_rank,zero_count,max_rank,mean_abs_param,mean_abs_grad,mean_abs_param_grad,max_abs_param_grad,sum_abs_param_grad
3750,0,Attention,query,base_model.model.bert.encoder.layer.0.attention.self.query.lora_E.default,9,3,12,2.773479046425109e-08,0.0011871419847011,2.839550990174633e-11,8.462623657390367e-11,3.407461257598498e-10
3750,0,Attention,value,base_model.model.bert.encoder.layer.0.attention.self.value.lora_E.default,10,2,12,0.0132187716662883,0.024546543136239,0.0015797700034454,0.0118821151554584,0.0189572405070066
3750,1,Attention,query,base_model.model.bert.encoder.layer.1.attention.self.query.lora_E.default,10,2,12,2.783671959605272e-08,0.0013365921331569,3.190765360261416e-11,1.006133995562486e-10,3.8289182935358207e-10
3750,1,Attention,value,base_model.model.bert.encoder.layer.1.attention.self.value.lora_E.default,8,4,12,0.01233587320894,0.0078993085771799,0.0007260608836077,0.0087127294391393,0.0087127303704619
3750,2,Attention,query,base_model.model.bert.encoder.layer.2.attention.self.query.lora_E.default,10,2,12,2.3665814197215692e-08,0.0009009781642816,2.2227738746827264e-11,7.780890515229899e-11,2.6673285802303326e-10
3750,2,Attention,value,base_model.model.bert.encoder.layer.2.attention.self.value.lora_E.default,12,0,12,0.0238034222275018,0.0196989309042692,0.002769204089418,0.0324111096560955,0.0332304500043392
3750,3,Attention,query,base_model.model.bert.encoder.layer.3.attention.self.query.lora_E.default,9,3,12,2.8762658033087973e-08,0.0012100361054763,4.1331549294199015e-11,1.4334704256935282e-10,4.959785915303883e-10
3750,3,Attention,value,base_model.model.bert.encoder.layer.3.attention.self.value.lora_E.default,9,3,12,0.0192457940429449,0.0071626473218202,0.0003983613569289,0.0026725551579147,0.0047803362831473
3750,4,Attention,query,base_model.model.bert.encoder.layer.4.attention.self.query.lora_E.default,10,2,12,2.086694017577884e-08,0.0017029462615028,2.9691287622979345e-11,6.705692251474105e-11,3.5629546535353995e-10
3750,4,Attention,value,base_model.model.bert.encoder.layer.4.attention.self.value.lora_E.default,9,3,12,0.0107008256018161,0.0186246950179338,0.0012556941946968,0.0150683289393782,0.0150683298707008
3750,5,Attention,query,base_model.model.bert.encoder.layer.5.attention.self.query.lora_E.default,10,2,12,2.4512978313850908e-08,0.0008236133144237,2.162339057809604e-11,6.148553194362805e-11,2.5948068693715243e-10
3750,5,Attention,value,base_model.model.bert.encoder.layer.5.attention.self.value.lora_E.default,12,0,12,0.0208334494382143,0.0113808633759617,0.0008754974696785,0.0078736525028944,0.0105059696361422
3750,6,Attention,query,base_model.model.bert.encoder.layer.6.attention.self.query.lora_E.default,9,3,12,1.8460818651533373e-08,0.0015527029754593,2.3183654648817328e-11,6.277953851219209e-11,2.7820384884691407e-10
3750,6,Attention,value,base_model.model.bert.encoder.layer.6.attention.self.value.lora_E.default,10,2,12,0.0300140921026468,0.0100275417789816,0.0005810324801132,0.0027274540625512,0.0069723897613584
3750,7,Attention,query,base_model.model.bert.encoder.layer.7.attention.self.query.lora_E.default,6,6,12,1.9374558846152468e-08,0.0005953770596534,8.9243126777383e-12,2.640219987082304e-11,1.070917521328596e-10
3750,7,Attention,value,base_model.model.bert.encoder.layer.7.attention.self.value.lora_E.default,11,1,12,0.0498555861413478,0.0121745243668556,0.0012796090450137,0.0067790378816425,0.0153553085401654
3750,8,Attention,query,base_model.model.bert.encoder.layer.8.attention.self.query.lora_E.default,10,2,12,1.898897927787857e-08,0.0011724206851795,2.1411658904235686e-11,6.003750274707896e-11,2.569399137897221e-10
3750,8,Attention,value,base_model.model.bert.encoder.layer.8.attention.self.value.lora_E.default,11,1,12,0.0730249509215354,0.031738881021738,0.0038096038624644,0.0135365147143602,0.0457152463495731
3750,9,Attention,query,base_model.model.bert.encoder.layer.9.attention.self.query.lora_E.default,6,6,12,1.3779765772881092e-08,0.0007743399473838,1.0728056464015534e-11,5.774245664946776e-11,1.2873667409873946e-10
3750,9,Attention,value,base_model.model.bert.encoder.layer.9.attention.self.value.lora_E.default,11,1,12,0.098494254052639,0.0578001178801059,0.0069266878999769,0.0347192995250225,0.0831202566623687
3750,10,Attention,query,base_model.model.bert.encoder.layer.10.attention.self.query.lora_E.default,9,3,12,0.011660411953926,0.0006075626006349,1.29676218421082e-05,0.0001556112692924,0.0001556114584673
3750,10,Attention,value,base_model.model.bert.encoder.layer.10.attention.self.value.lora_E.default,10,2,12,0.0509222038090229,0.0253484547138214,0.0026051616296172,0.0141988554969429,0.0312619395554065
3750,11,Attention,query,base_model.model.bert.encoder.layer.11.attention.self.query.lora_E.default,8,4,12,1.5539258768626496e-08,0.0009281812817789,1.0037024163189743e-11,2.6357518598252305e-11,1.204442934277239e-10
3750,11,Attention,value,base_model.model.bert.encoder.layer.11.attention.self.value.lora_E.default,8,4,12,0.0674662962555885,0.0408538207411766,0.005945146549493,0.0327653773128986,0.071341760456562
