step,layer,module_type,module_name,param_name,effective_rank,max_rank,mean_abs_lora_E,max_abs_lora_E
1125,0,Attention,query,base_model.model.bert.encoder.layer.0.attention.self.query.lora_E.default,8,8,0.012042504735291,0.037503495812416
1125,0,Attention,value,base_model.model.bert.encoder.layer.0.attention.self.value.lora_E.default,8,8,0.0241873506456613,0.0398613400757312
1125,0,FFN,intermediate,base_model.model.bert.encoder.layer.0.intermediate.dense.lora_E.default,8,8,0.0389305502176284,0.0492607057094574
1125,0,FFN,output,base_model.model.bert.encoder.layer.0.output.dense.lora_E.default,8,8,0.025862144306302,0.0500140003859996
1125,1,Attention,query,base_model.model.bert.encoder.layer.1.attention.self.query.lora_E.default,8,8,0.0086172735318541,0.0220566894859075
1125,1,Attention,value,base_model.model.bert.encoder.layer.1.attention.self.value.lora_E.default,8,8,0.0224859844893217,0.0440715588629245
1125,1,FFN,intermediate,base_model.model.bert.encoder.layer.1.intermediate.dense.lora_E.default,8,8,0.0311029218137264,0.05313491076231
1125,1,FFN,output,base_model.model.bert.encoder.layer.1.output.dense.lora_E.default,8,8,0.0140011329203844,0.0268312618136405
1125,2,Attention,query,base_model.model.bert.encoder.layer.2.attention.self.query.lora_E.default,8,8,0.0075800912454724,0.0111036738380789
1125,2,Attention,value,base_model.model.bert.encoder.layer.2.attention.self.value.lora_E.default,8,8,0.0183352474123239,0.0470395274460315
1125,2,FFN,intermediate,base_model.model.bert.encoder.layer.2.intermediate.dense.lora_E.default,8,8,0.0294783990830183,0.0658894032239914
1125,2,FFN,output,base_model.model.bert.encoder.layer.2.output.dense.lora_E.default,8,8,0.0155271552503108,0.0454781576991081
1125,3,Attention,query,base_model.model.bert.encoder.layer.3.attention.self.query.lora_E.default,8,8,0.0066309878602623,0.0152806788682937
1125,3,Attention,value,base_model.model.bert.encoder.layer.3.attention.self.value.lora_E.default,8,8,0.0200308375060558,0.0404808893799781
1125,3,FFN,intermediate,base_model.model.bert.encoder.layer.3.intermediate.dense.lora_E.default,8,8,0.0352905392646789,0.0558362007141113
1125,3,FFN,output,base_model.model.bert.encoder.layer.3.output.dense.lora_E.default,8,8,0.0238556805998086,0.0549760237336158
1125,4,Attention,query,base_model.model.bert.encoder.layer.4.attention.self.query.lora_E.default,8,8,0.0097586084157228,0.0222804397344589
