step,layer,module_type,module_name,param_name,effective_rank,zero_count,max_rank,mean_abs_lora_E,max_abs_lora_E,min_abs_lora_E
3750,0,Attention,query,base_model.model.bert.encoder.layer.0.attention.self.query.lora_E.default,6,6,12,1.2520735559462537e-08,2.5374426115831742e-08,4.0463481454366965e-09
3750,0,Attention,value,base_model.model.bert.encoder.layer.0.attention.self.value.lora_E.default,6,6,12,0.0132187604904174,0.0889283344149589,2.202428378561549e-10
3750,1,Attention,query,base_model.model.bert.encoder.layer.1.attention.self.query.lora_E.default,8,4,12,1.6120344170644785e-08,2.9687580394011093e-08,2.588289582661218e-09
3750,1,Attention,value,base_model.model.bert.encoder.layer.1.attention.self.value.lora_E.default,5,7,12,0.0123358638957142,0.1480302363634109,3.668959136504668e-09
3750,2,Attention,query,base_model.model.bert.encoder.layer.2.attention.self.query.lora_E.default,7,5,12,1.1149933420995241e-08,2.8071637458992882e-08,3.6841232842199645e-10
3750,2,Attention,value,base_model.model.bert.encoder.layer.2.attention.self.value.lora_E.default,8,4,12,0.0238034129142761,0.1643302589654922,9.509566051280059e-11
3750,3,Attention,query,base_model.model.bert.encoder.layer.3.attention.self.query.lora_E.default,9,3,12,1.7047588229957e-08,3.1807005029804714e-08,1.1655271192623218e-09
3750,3,Attention,value,base_model.model.bert.encoder.layer.3.attention.self.value.lora_E.default,6,6,12,0.019245782867074,0.1226262673735618,3.249776892033651e-09
3750,4,Attention,query,base_model.model.bert.encoder.layer.4.attention.self.query.lora_E.default,5,7,12,1.003734606541684e-08,2.313977631729358e-08,1.3521049835318875e-09
3750,4,Attention,value,base_model.model.bert.encoder.layer.4.attention.self.value.lora_E.default,7,5,12,0.010700817219913,0.128409668803215,6.710193511949568e-10
3750,5,Attention,query,base_model.model.bert.encoder.layer.5.attention.self.query.lora_E.default,6,6,12,1.0722252419270717e-08,2.4633829198705826e-08,7.837882565198129e-10
3750,5,Attention,value,base_model.model.bert.encoder.layer.5.attention.self.value.lora_E.default,9,3,12,0.0208334401249885,0.139112964272499,2.2863564375086302e-09
3750,6,Attention,query,base_model.model.bert.encoder.layer.6.attention.self.query.lora_E.default,6,6,12,1.0639129577327822e-08,2.887042960253439e-08,5.512654777106717e-10
3750,6,Attention,value,base_model.model.bert.encoder.layer.6.attention.self.value.lora_E.default,8,4,12,0.0300140846520662,0.1288217008113861,2.042578328698141e-09
3750,7,Attention,query,base_model.model.bert.encoder.layer.7.attention.self.query.lora_E.default,6,6,12,1.0077446432887882e-08,2.4564670297877456e-08,3.4311500862749256e-10
3750,7,Attention,value,base_model.model.bert.encoder.layer.7.attention.self.value.lora_E.default,9,3,12,0.0498555749654769,0.1345245242118835,4.1248640614277576e-10
3750,8,Attention,query,base_model.model.bert.encoder.layer.8.attention.self.query.lora_E.default,4,8,12,7.638197629944443e-09,2.1297164920497383e-08,2.674099830457521e-10
3750,8,Attention,value,base_model.model.bert.encoder.layer.8.attention.self.value.lora_E.default,10,2,12,0.0730249360203743,0.1384879350662231,3.702758544221752e-09
3750,9,Attention,query,base_model.model.bert.encoder.layer.9.attention.self.query.lora_E.default,3,9,12,5.1154867009017835e-09,1.5079720583344173e-08,1.2434692164831063e-10
3750,9,Attention,value,base_model.model.bert.encoder.layer.9.attention.self.value.lora_E.default,10,2,12,0.0984942391514778,0.1620994806289672,4.824602939379474e-09
3750,10,Attention,query,base_model.model.bert.encoder.layer.10.attention.self.query.lora_E.default,6,6,12,0.0116604035720229,0.1399246752262115,5.626156207583222e-10
3750,10,Attention,value,base_model.model.bert.encoder.layer.10.attention.self.value.lora_E.default,7,5,12,0.0509221963584423,0.1297483295202255,1.8712118521335693e-09
3750,11,Attention,query,base_model.model.bert.encoder.layer.11.attention.self.query.lora_E.default,3,9,12,7.763534703997266e-09,1.7895475323825852e-08,1.1799909938048359e-09
3750,11,Attention,value,base_model.model.bert.encoder.layer.11.attention.self.value.lora_E.default,6,6,12,0.0674662962555885,0.2012389451265335,3.544626148155316e-09
