exp_name,dataset,model,method,rank,train_samples,eval_samples,total_params,trainable_params,trainable_ratio_percent,eval_loss,accuracy,f1,train_time_sec,seed
sst2_lora_r4,sst2,bert-base-uncased,lora,4,2000,500,109632772,148994,0.1359,0.588509,0.662,0.750369,6.52,42
sst2_adalora_r4,sst2,bert-base-uncased,adalora,4,2000,500,109780444,296642,0.2702,1.075988,0.528,0.687831,8.29,42
sst2_lora_r4_e3,sst2,bert-base-uncased,lora,4,6000,,109632772,148994,0.1359,0.265216,0.885321,0.889381,41.89,42
sst2_adalora_r4_e3,sst2,bert-base-uncased,adalora,4,6000,,109780444,296642,0.2702,0.362521,0.848624,0.858672,59.97,42
sst2_lora_r2_e3,sst2,bert-base-uncased,lora,2,6000,,109559044,75266,0.0687,0.287313,0.873853,0.879121,40.41,42
sst2_lora_r8_e3,sst2,bert-base-uncased,lora,8,6000,,109780228,296450,0.27,0.262361,0.901376,0.904018,39.63,42
sst2_lora_r16_e3,sst2,bert-base-uncased,lora,16,6000,,110075140,591362,0.5372,0.264553,0.90711,0.909295,39.66,42
sst2_adalora_r2_e3,sst2,bert-base-uncased,adalora,2,6000,,109780444,296642,0.2702,0.563805,0.707569,0.76584,60.89,42
sst2_adalora_r8_e3,sst2,bert-base-uncased,adalora,8,6000,,109927996,444194,0.4041,0.353056,0.855505,0.863341,59.89,42
sst2_adalora_r16_e3,sst2,bert-base-uncased,adalora,16,6000,,110223100,739298,0.6707,0.337936,0.862385,0.868709,59.91,42
mrpc_lora_r4_e3,mrpc,bert-base-uncased,lora,4,,,109632772,148994,0.1359,0.419614,0.828431,0.880952,37.46,42
mrpc_adalora_r4_e3,mrpc,bert-base-uncased,adalora,4,,,109780444,296642,0.2702,0.618161,0.683824,0.812227,46.48,42
rte_lora_r4_e3,rte,bert-base-uncased,lora,4,,,109632772,148994,0.1359,0.679019,0.570397,0.48927,36.02,42
rte_adalora_r4_e3,rte,bert-base-uncased,adalora,4,,,109780444,296642,0.2702,0.692251,0.472924,0.642157,42.25,42
sst2_attn_lora_r4_e3,sst2,bert-base-uncased,lora,4,6000,,109632772,148994,0.1359,0.265216,0.885321,0.889381,40.65,42
sst2_ffn_lora_r4_e3,sst2,bert-base-uncased,lora,4,6000,,109853956,370178,0.337,0.280682,0.892202,0.897603,40.9,42
sst2_full_lora_r4_e3,sst2,bert-base-uncased,lora,4,6000,,110001412,517634,0.4706,0.306515,0.894495,0.898455,51.2,42
sst2_full_adalora_r4_rank_e3,sst2,bert-base-uncased,adalora,4,6000,,110517940,1034114,0.9357,0.333434,0.860092,0.867679,88.53,42
sst2_adalora_strict_rank,sst2,bert-base-uncased,adalora_strict,2,12000,,109927996,444194,0.4041,0.318284,0.866972,0.872247,289.99,42
