step,layer,module_type,module_name,param_name,effective_rank,zero_count,max_rank,mean_abs_lora_E,max_abs_lora_E,min_abs_lora_E
0,0,Attention,query,base_model.model.bert.encoder.layer.0.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,0,Attention,value,base_model.model.bert.encoder.layer.0.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,1,Attention,query,base_model.model.bert.encoder.layer.1.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,1,Attention,value,base_model.model.bert.encoder.layer.1.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,2,Attention,query,base_model.model.bert.encoder.layer.2.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,2,Attention,value,base_model.model.bert.encoder.layer.2.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,3,Attention,query,base_model.model.bert.encoder.layer.3.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,3,Attention,value,base_model.model.bert.encoder.layer.3.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,4,Attention,query,base_model.model.bert.encoder.layer.4.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,4,Attention,value,base_model.model.bert.encoder.layer.4.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,5,Attention,query,base_model.model.bert.encoder.layer.5.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,5,Attention,value,base_model.model.bert.encoder.layer.5.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,6,Attention,query,base_model.model.bert.encoder.layer.6.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,6,Attention,value,base_model.model.bert.encoder.layer.6.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,7,Attention,query,base_model.model.bert.encoder.layer.7.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,7,Attention,value,base_model.model.bert.encoder.layer.7.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,8,Attention,query,base_model.model.bert.encoder.layer.8.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,8,Attention,value,base_model.model.bert.encoder.layer.8.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,9,Attention,query,base_model.model.bert.encoder.layer.9.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,9,Attention,value,base_model.model.bert.encoder.layer.9.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,10,Attention,query,base_model.model.bert.encoder.layer.10.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,10,Attention,value,base_model.model.bert.encoder.layer.10.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
0,11,Attention,query,base_model.model.bert.encoder.layer.11.attention.self.query.lora_E.default,0,12,12,0.0,0.0,0.0
0,11,Attention,value,base_model.model.bert.encoder.layer.11.attention.self.value.lora_E.default,0,12,12,0.0,0.0,0.0
250,0,Attention,query,base_model.model.bert.encoder.layer.0.attention.self.query.lora_E.default,12,0,12,0.0012783502461388707,0.0028034066781401634,4.746275408251677e-06
250,0,Attention,value,base_model.model.bert.encoder.layer.0.attention.self.value.lora_E.default,12,0,12,0.0021833819337189198,0.004884111229330301,1.598485505382996e-05
250,1,Attention,query,base_model.model.bert.encoder.layer.1.attention.self.query.lora_E.default,12,0,12,0.001266202423721552,0.004103686660528183,3.0983230772108072e-06
250,1,Attention,value,base_model.model.bert.encoder.layer.1.attention.self.value.lora_E.default,12,0,12,0.002516012405976653,0.005609468091279268,0.000507005606777966
250,2,Attention,query,base_model.model.bert.encoder.layer.2.attention.self.query.lora_E.default,12,0,12,0.0015932429814711213,0.004102426115423441,4.86275166622363e-06
250,2,Attention,value,base_model.model.bert.encoder.layer.2.attention.self.value.lora_E.default,12,0,12,0.002834622748196125,0.007422748953104019,4.3329997424734756e-05
250,3,Attention,query,base_model.model.bert.encoder.layer.3.attention.self.query.lora_E.default,12,0,12,0.001413656515069306,0.003619604744017124,2.9183534024923574e-06
250,3,Attention,value,base_model.model.bert.encoder.layer.3.attention.self.value.lora_E.default,12,0,12,0.0028308231849223375,0.00567949702963233,4.2031449993373826e-05
250,4,Attention,query,base_model.model.bert.encoder.layer.4.attention.self.query.lora_E.default,12,0,12,0.0015190386911854148,0.004857282619923353,2.203738404205069e-05
250,4,Attention,value,base_model.model.bert.encoder.layer.4.attention.self.value.lora_E.default,12,0,12,0.0023543958086520433,0.004573788959532976,2.6332329071010463e-05
250,5,Attention,query,base_model.model.bert.encoder.layer.5.attention.self.query.lora_E.default,12,0,12,0.0015691476874053478,0.006320307031273842,4.097933015145827e-07
250,5,Attention,value,base_model.model.bert.encoder.layer.5.attention.self.value.lora_E.default,12,0,12,0.002593540120869875,0.006977079436182976,4.533792434813222e-06
250,6,Attention,query,base_model.model.bert.encoder.layer.6.attention.self.query.lora_E.default,12,0,12,0.0012822283897548914,0.0036887768656015396,1.6246089273863618e-07
250,6,Attention,value,base_model.model.bert.encoder.layer.6.attention.self.value.lora_E.default,12,0,12,0.0035177096724510193,0.0073922667652368546,0.0009604344959370792
250,7,Attention,query,base_model.model.bert.encoder.layer.7.attention.self.query.lora_E.default,12,0,12,0.0021845875307917595,0.005915896967053413,5.80508367420407e-06
250,7,Attention,value,base_model.model.bert.encoder.layer.7.attention.self.value.lora_E.default,12,0,12,0.004607656970620155,0.008757561445236206,0.0009539465536363423
250,8,Attention,query,base_model.model.bert.encoder.layer.8.attention.self.query.lora_E.default,12,0,12,0.001503454870544374,0.004863471258431673,1.29776753965416e-05
250,8,Attention,value,base_model.model.bert.encoder.layer.8.attention.self.value.lora_E.default,12,0,12,0.004809825215488672,0.011536681093275547,0.00021555238345172256
250,9,Attention,query,base_model.model.bert.encoder.layer.9.attention.self.query.lora_E.default,12,0,12,0.0032706151250749826,0.007307514548301697,7.770398951834068e-05
250,9,Attention,value,base_model.model.bert.encoder.layer.9.attention.self.value.lora_E.default,12,0,12,0.00462896516546607,0.012381432577967644,1.945671556313755e-06
250,10,Attention,query,base_model.model.bert.encoder.layer.10.attention.self.query.lora_E.default,12,0,12,0.00353341200388968,0.009308216162025928,2.6365765734226443e-05
250,10,Attention,value,base_model.model.bert.encoder.layer.10.attention.self.value.lora_E.default,12,0,12,0.005864881444722414,0.01385023258626461,0.00017780477355699986
250,11,Attention,query,base_model.model.bert.encoder.layer.11.attention.self.query.lora_E.default,12,0,12,0.0013523962115868926,0.006225756835192442,8.107834219117649e-06
250,11,Attention,value,base_model.model.bert.encoder.layer.11.attention.self.value.lora_E.default,12,0,12,0.0060785855166614056,0.014274678193032742,0.0012222259538248181
500,0,Attention,query,base_model.model.bert.encoder.layer.0.attention.self.query.lora_E.default,12,0,12,0.0010429901303723454,0.011802022345364094,1.0912000107055064e-05
500,0,Attention,value,base_model.model.bert.encoder.layer.0.attention.self.value.lora_E.default,12,0,12,0.00951495673507452,0.027282044291496277,7.893495421740226e-06
500,1,Attention,query,base_model.model.bert.encoder.layer.1.attention.self.query.lora_E.default,12,0,12,0.001876889611594379,0.011214140802621841,2.3514326130680274e-06
500,1,Attention,value,base_model.model.bert.encoder.layer.1.attention.self.value.lora_E.default,12,0,12,0.008413122035562992,0.022351065650582314,7.534267206210643e-05
500,2,Attention,query,base_model.model.bert.encoder.layer.2.attention.self.query.lora_E.default,12,0,12,9.958268492482603e-05,0.0002093324437737465,1.4326042219181545e-05
500,2,Attention,value,base_model.model.bert.encoder.layer.2.attention.self.value.lora_E.default,12,0,12,0.012599647976458073,0.03308204561471939,7.075732719385996e-05
500,3,Attention,query,base_model.model.bert.encoder.layer.3.attention.self.query.lora_E.default,12,0,12,4.844948125537485e-05,9.914203837979585e-05,3.7847692624382034e-07
500,3,Attention,value,base_model.model.bert.encoder.layer.3.attention.self.value.lora_E.default,12,0,12,0.01423245295882225,0.03833354264497757,7.418893073918298e-05
500,4,Attention,query,base_model.model.bert.encoder.layer.4.attention.self.query.lora_E.default,12,0,12,0.0022057185415178537,0.011169015429913998,3.6550125059875427e-06
500,4,Attention,value,base_model.model.bert.encoder.layer.4.attention.self.value.lora_E.default,12,0,12,0.014753448776900768,0.04210427775979042,0.00014407264825422317
500,5,Attention,query,base_model.model.bert.encoder.layer.5.attention.self.query.lora_E.default,12,0,12,0.0011554372031241655,0.0132483234629035,2.2467904727818677e-06
500,5,Attention,value,base_model.model.bert.encoder.layer.5.attention.self.value.lora_E.default,12,0,12,0.01912022940814495,0.04891105368733406,1.9830995370284654e-05
500,6,Attention,query,base_model.model.bert.encoder.layer.6.attention.self.query.lora_E.default,12,0,12,0.002893920987844467,0.01410270668566227,4.1141272959066555e-05
