step,layer,module_type,module_name,param_name,effective_rank,max_rank,mean_abs_lora_E,max_abs_lora_E
50,0,Attention,query,base_model.model.bert.encoder.layer.0.attention.self.query.lora_E.default,8,8,0.0007510890136472881,0.0016479151090607047
50,0,Attention,value,base_model.model.bert.encoder.layer.0.attention.self.value.lora_E.default,8,8,0.001112877856940031,0.001840693410485983
50,0,FFN,intermediate,base_model.model.bert.encoder.layer.0.intermediate.dense.lora_E.default,8,8,0.001377865206450224,0.0022889578249305487
50,0,FFN,output,base_model.model.bert.encoder.layer.0.output.dense.lora_E.default,8,8,0.0004780456074513495,0.0020289160311222076
50,1,Attention,query,base_model.model.bert.encoder.layer.1.attention.self.query.lora_E.default,8,8,0.0013067976105958223,0.0036912611685693264
50,1,Attention,value,base_model.model.bert.encoder.layer.1.attention.self.value.lora_E.default,8,8,0.0014387854607775807,0.0024844324216246605
50,1,FFN,intermediate,base_model.model.bert.encoder.layer.1.intermediate.dense.lora_E.default,8,8,0.0008551145438104868,0.0021075557451695204
50,1,FFN,output,base_model.model.bert.encoder.layer.1.output.dense.lora_E.default,8,8,0.0011517382226884365,0.0025092605501413345
50,2,Attention,query,base_model.model.bert.encoder.layer.2.attention.self.query.lora_E.default,8,8,0.0009030774235725403,0.0018461844883859158
50,2,Attention,value,base_model.model.bert.encoder.layer.2.attention.self.value.lora_E.default,8,8,0.0007467339746654034,0.001673466176725924
50,2,FFN,intermediate,base_model.model.bert.encoder.layer.2.intermediate.dense.lora_E.default,8,8,0.00129978870972991,0.002560295630246401
50,2,FFN,output,base_model.model.bert.encoder.layer.2.output.dense.lora_E.default,8,8,0.0012956260470673442,0.001908465987071395
50,3,Attention,query,base_model.model.bert.encoder.layer.3.attention.self.query.lora_E.default,8,8,0.0012634340673685074,0.002402090234681964
50,3,Attention,value,base_model.model.bert.encoder.layer.3.attention.self.value.lora_E.default,8,8,0.0014616200933232903,0.002425731159746647
50,3,FFN,intermediate,base_model.model.bert.encoder.layer.3.intermediate.dense.lora_E.default,8,8,0.0011986637255176902,0.0026904968544840813
50,3,FFN,output,base_model.model.bert.encoder.layer.3.output.dense.lora_E.default,8,8,0.000873456010594964,0.0024254219606518745
50,4,Attention,query,base_model.model.bert.encoder.layer.4.attention.self.query.lora_E.default,8,8,0.0010367932263761759,0.0017714822897687554
50,4,Attention,value,base_model.model.bert.encoder.layer.4.attention.self.value.lora_E.default,8,8,0.001307145575992763,0.003938604611903429
50,4,FFN,intermediate,base_model.model.bert.encoder.layer.4.intermediate.dense.lora_E.default,8,8,0.001174259465187788,0.00252143363468349
50,4,FFN,output,base_model.model.bert.encoder.layer.4.output.dense.lora_E.default,8,8,0.000994534115307033,0.0027227241080254316
50,5,Attention,query,base_model.model.bert.encoder.layer.5.attention.self.query.lora_E.default,8,8,0.001031608204357326,0.002615597564727068
50,5,Attention,value,base_model.model.bert.encoder.layer.5.attention.self.value.lora_E.default,8,8,0.0009118015877902508,0.0019610950257629156
50,5,FFN,intermediate,base_model.model.bert.encoder.layer.5.intermediate.dense.lora_E.default,8,8,0.0013099433854222298,0.0023018047213554382
50,5,FFN,output,base_model.model.bert.encoder.layer.5.output.dense.lora_E.default,8,8,0.0010188104351982474,0.0025420640595257282
50,6,Attention,query,base_model.model.bert.encoder.layer.6.attention.self.query.lora_E.default,8,8,0.0012063818285241723,0.0023556642699986696
50,6,Attention,value,base_model.model.bert.encoder.layer.6.attention.self.value.lora_E.default,8,8,0.002409821143373847,0.004773883149027824
50,6,FFN,intermediate,base_model.model.bert.encoder.layer.6.intermediate.dense.lora_E.default,8,8,0.0011446498101577163,0.0021952104289084673
50,6,FFN,output,base_model.model.bert.encoder.layer.6.output.dense.lora_E.default,8,8,0.0015926607884466648,0.003513565519824624
50,7,Attention,query,base_model.model.bert.encoder.layer.7.attention.self.query.lora_E.default,8,8,0.0012805695878341794,0.0026891175657510757
