exp_name,dataset,method,rank,accuracy,f1,trainable_params,train_time_sec,performance_score,param_efficiency_score,time_efficiency_score,rank_compression_score,rank_diversity_score,explainability_score,adarank_score
sst2_lora_r2_e3,sst2,lora,2,0.873853,0.879121,75266,40.41,87.6487,100.0,98.2714,0.0,0.0,40.0,64.5042
sst2_attn_lora_r4_e3,sst2,lora,4,0.885321,0.889381,148994,40.65,88.7351,88.8969,98.177,0.0,0.0,40.0,62.6544
sst2_lora_r4_e3,sst2,lora,4,0.885321,0.889381,148994,41.89,88.7351,88.8969,97.6887,0.0,0.0,40.0,62.6055
sst2_adalora_strict_rank,sst2,adalora_strict,2,0.866972,0.872247,444194,289.99,86.961,44.4412,0.0,44.4444,63.5862,100.0,62.3499
mrpc_lora_r4_e3,mrpc,lora,4,0.828431,0.880952,148994,37.46,85.4692,88.8969,99.433,0.0,0.0,40.0,61.6369
sst2_lora_r8_e3,sst2,lora,8,0.901376,0.904018,296450,39.63,90.2697,66.6908,98.5786,0.0,0.0,40.0,58.7904
sst2_adalora_r4_e3,sst2,adalora,4,0.848624,0.858672,296642,59.97,85.3648,66.6618,90.5698,0.0,0.0,60.0,58.267
sst2_ffn_lora_r4_e3,sst2,lora,4,0.892202,0.897603,370178,40.9,89.4902,55.5877,98.0785,0.0,0.0,40.0,56.247
mrpc_adalora_r4_e3,mrpc,adalora,4,0.683824,0.812227,296642,46.48,74.8026,66.6618,95.8814,0.0,0.0,60.0,55.1014
sst2_adalora_r2_e3,sst2,adalora,2,0.707569,0.76584,296642,60.89,73.6704,66.6618,90.2075,0.0,0.0,60.0,54.1378
sst2_adalora_r8_e3,sst2,adalora,8,0.855505,0.863341,444194,59.89,85.9423,44.4412,90.6013,0.0,0.0,60.0,54.0282
sst2_full_lora_r4_e3,sst2,lora,4,0.894495,0.898455,517634,51.2,89.6475,33.3815,94.0229,0.0,0.0,40.0,51.4552
rte_lora_r4_e3,rte,lora,4,0.570397,0.48927,148994,36.02,52.9834,88.8969,100.0,0.0,0.0,40.0,50.3236
sst2_lora_r16_e3,sst2,lora,16,0.90711,0.909295,591362,39.66,90.8202,22.2784,98.5668,0.0,0.0,40.0,50.0995
rte_adalora_r4_e3,rte,adalora,4,0.472924,0.642157,296642,42.25,55.754,66.6618,97.547,0.0,0.0,60.0,48.601
sst2_adalora_r16_e3,sst2,adalora,16,0.862385,0.868709,739298,59.91,86.5547,0.0,90.5934,0.0,0.0,60.0,45.3535
